"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WK76AJP5","journalArticle","2024","Serrano-Guerrero, Jesus; Bani-Doumi, Mohammad; Romero, Francisco P.; Olivas, Jose A.","A 2-tuple fuzzy linguistic model for recommending health care services grounded on aspect-based sentiment analysis","Expert Systems with Applications","","09574174","10.1016/j.eswa.2023.122340","https://linkinghub.elsevier.com/retrieve/pii/S0957417423028427","Evaluating the quality of health care systems usually entails the examination of objective variables (waiting time, patients per doctor, etc.). Nonetheless, other subjective variables can be used thanks to new Internet tools. Many online medical services let users convey their opinions on the offered services. That information is an interesting tool to measure the quality of these services. It describes sentiments about different features using a wide range of adjectives, adverbs and nouns, many times, completely different for each feature. Therefore, it is interesting to assess every feature individually using different scales. This study presents an application of a multi-granular fuzzy linguistic model to represent the opinions about the different features of health care systems with the aim of recommending hospitals according to the user preferences. To test this approach, the opinions from real hospitals have been assessed using different user preferences. The obtained results outperform other state-of-the-art approaches.","2024-03","2025-10-16 00:41:30","2025-10-16 00:41:30","2025-10-16 00:41:30","122340","","","238","","Expert Systems with Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\N34JFJPT\Serrano-Guerrero et al. - 2024 - A 2-tuple fuzzy linguistic model for recommending health care services grounded on aspect-based sent.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SW7TSGZV","journalArticle","2023","Aramanda, Amarajyothi; Md.Abdul, Saifulla; Vedala, Radha","enemos-p: An enhanced emotion specific prediction for recommender systems","Expert Systems with Applications","","09574174","10.1016/j.eswa.2023.120190","https://linkinghub.elsevier.com/retrieve/pii/S0957417423006929","Recommender systems suggest relevant item(s) to a new user by analyzing the existing user/item data. In recommender systems, collaborative filtering (CF) is a widely used technique to understand user preferences. The CF technique predicts a new user preferences to suggest the items by employing existing users’ preferences expressed in purchase history, ratings, and reviews. We observed from the real-world data that the user-rating data and user-review data given by a user are not expressing the same intent (we call inconsistency). This inconsistency in user-rating data and user-review data influences the performance of the recommender system. In this paper, we address the problem of inconsistency, and propose a novel approach that provide true recommendations. In this approach, we propose a refined approach called Enhanced Emotion Specific Prediction to refine the user-rating data considering emotional features in the user-review data. In the proposed approach, we exploit the multi-polarity to compute the emotional features from the emotional words. The emotional words are extracted at sentence-level by proposing sentence-level emotion detection algorithm. To validate the efficiency of the proposed approach, we conducted experiments on real-world data sets, Amazon and Yelp. We have used Mean Absolute Error (MAE), Mean Absolute Percentage Error (MAPE), Root Mean Squared Error (RMSE), and Normalized RMSE (NRMSE) for comparing the performance. The results of the experiments show that the proposed approach significantly reduces MAE, MAPE, RMSE, and NRMSE compared to the existing approaches.","2023-10","2025-10-16 00:41:34","2025-10-16 00:41:34","2025-10-16 00:41:34","120190","","","227","","Expert Systems with Applications","enemos-p","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\2Y98EGAG\Aramanda et al. - 2023 - enemos-p An enhanced emotion specific prediction for recommender systems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IHG5GVYS","journalArticle","2025","Liu, Xinyu; Guo, Jinxia; Hao, Qirui; Wang, Hongliang; Yu, Zhongjing; Yang, Qinli; Shao, Junming","Bridging the gap between ratings and true user opinions with dynamic review alignment for personalized recommendation","Neural Networks","","08936080","10.1016/j.neunet.2025.107706","https://linkinghub.elsevier.com/retrieve/pii/S0893608025005866","Personalized recommender systems strive to deliver timely, accurate suggestions that reflect a user’s current interests, yet they face challenges in aligning ratings with users’ true thoughts and adapting to dynamic user behaviors under sparse user–item interactions. Ratings or implicit data often fail to reflect nuanced opinions, as users may assign high ratings despite expressing dissatisfaction in their reviews. Moreover, existing models struggle to adapt to temporal changes in user behaviors while handling the inherent noise and sparsity of real-world data. In this paper, we propose a dynamic multi-scale review alignment (DMRA) graph-based recommendation model to tackle these challenges. By incorporating multi-scale review extraction techniques, DMRA aligns textual insights with user–item interactions to uncover nuanced user opinions and mitigate rating biases. A sentiment-aware graph propagates semantic and sentiment information, while a memoryaugmented module dynamically stores and updates user preferences in micro-cluster manner, balancing short-term and long-term interests. Furthermore, DMRA employs a contrastive learning mechanism to filter noise and inconsistencies in both ratings and reviews, ensuring robust recommendation. Extensive experiments on real-world datasets indicate that DMRA outperforms baselines, and has the capacity to promptly capture granular user preferences and item features and adapt to temporal dynamics, offering accurate and reliable personalized recommendations.","2025-11","2025-10-16 00:41:40","2025-10-16 00:41:41","2025-10-16 00:41:40","107706","","","191","","Neural Networks","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\JH55YEAC\Liu et al. - 2025 - Bridging the gap between ratings and true user opinions with dynamic review alignment for personaliz.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8WA9DJ45","journalArticle","2025","Darraz, Nossayba; Karabila, Ikram; El-Ansari, Anas; Alami, Nabil; Mallahi, Mostafa El","Advancing recommendation systems with DeepMF and hybrid sentiment analysis: Deep learning and Lexicon-based integration","Expert Systems with Applications","","09574174","10.1016/j.eswa.2025.127432","https://linkinghub.elsevier.com/retrieve/pii/S0957417425010541","In the hotel industry, ensuring customer satisfaction and providing personalized recommendations are crucial elements for creating a remarkable guest experience. However, traditional recommendation systems encounter several challenges that hinder their effectiveness. These challenges include cold start problems, where it is difficult to make recommendations for new or less-rated items, as well as data sparsity, which limits the availability of relevant information. Additionally, accurately interpreting the diverse sentiments expressed by customers in their reviews poses another significant challenge. This study tackles these challenges by integrating sentiment analysis into hotel recommendation systems, aiming to capture and analyze guest opinions and sentiments from their reviews. This study aims to enhance recommendation systems by integrating a hybrid sentiment analysis approach. The approach combines lexicon-based techniques and deep learning methodologies, using TextBlob with Bag of Words and a Multilayer Perceptron (MLP) algorithm to analyze the sentiment of textual data. The hybrid sentiment analysis approach exhibits an impressive accuracy rate of 88.63%, demonstrating its effectiveness in capturing sentiment from customer reviews. This integration enables recommendation systems to better understand and incorporate customer sentiments, leading to improved personalized recommendations. Moreover, we combine this hybrid sentiment analysis with DeepMF for collaborative hotel recommendations, which yields a remarkable Root Mean Square Error (RMSE) of 0.1. By integrating sentiment analysis into the recommendation system, we gain valuable insights into customer preferences, leading to improved recommendation quality and personalization. This research highlights the potential of sentiment analysis in optimizing customer experience management within the hotel industry, providing a valuable tool for enhancing guest satisfaction and engagement.","2025-06","2025-10-16 00:41:46","2025-10-16 00:41:46","2025-10-16 00:41:46","127432","","","279","","Expert Systems with Applications","Advancing recommendation systems with DeepMF and hybrid sentiment analysis","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\35M2ESIU\Darraz et al. - 2025 - Advancing recommendation systems with DeepMF and hybrid sentiment analysis Deep learning and Lexico.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UV6AHSPY","journalArticle","2025","Liu, Peide; Dang, Ran; Wang, Peng; Xu, Yingcheng; Zhang, Yunfeng","Online–offline combined adaptive hotel recommendation system considering attribute importance and group consensus","Decision Support Systems","","01679236","10.1016/j.dss.2025.114503","https://linkinghub.elsevier.com/retrieve/pii/S0167923625001046","With the proliferation of tourism websites, online reviews have become indispensable for offline decision-makers when selecting hotels. Solely relying on personal judgment poses risks amid diverse preferences. Thus, this study aimed to create a hotel recommendation system that integrates online reviews and ratings with offline travel groups. First, the sentiment analysis of online reviews was integrated with ratings using heterogeneous reviewer weights, transforming them into probabilistic linguistic term sets. Second, by predicting reviewers’ travel types and clustering them, a method was devised to calculate subgroup weights, considering online group size and offline social trust networks. Third, attribute importance was determined via an online–offline method (attribute importance optimization model) considering the intensity and ordinal information. Subsequently, an adaptive consensus optimization model was developed based on a novel measurement method. This study offers personalized recommendations for offline decision-makers, providing essential guidance for travel agencies and platforms to enhance services and holding significant practical value.","2025-09","2025-10-16 00:41:53","2025-10-16 00:41:53","2025-10-16 00:41:53","114503","","","196","","Decision Support Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\AXNLH55E\Liu et al. - 2025 - Online–offline combined adaptive hotel recommendation system considering attribute importance and gr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQRUL6TD","journalArticle","2024","Cui, Yachao; Yu, Hongli; Guo, Xiaoxu; Cao, Han; Wang, Lei","RAKCR: Reviews sentiment-aware based knowledge graph convolutional networks for Personalized Recommendation","Expert Systems with Applications","","09574174","10.1016/j.eswa.2024.123403","https://linkinghub.elsevier.com/retrieve/pii/S0957417424002689","The recommendation algorithm is an important means to alleviate the information explosion in the era of big data. There has been a great deal of research into the use of knowledge graphs as auxiliary information in recommender systems, which can be used to alleviate data sparsity and cold start problems. However, most knowledge graph-based recommendation methods only use rating data to capture the user’s potential interest, and the rating is only a comprehensive evaluation of the item by the user, which cannot intuitively and accurately express the user’s personalized preference. In addition, existing recommendation strategies that blend ratings and reviews cannot simultaneously model the aspect fine-grained sentiment preferences of users in reviews as well as the personalized characteristics of items from the user’s perspective. To this end, in this paper, we propose Reviews Sentiment-Aware Knowledge Graph Convolutional Neural Network (RAKCR), a generic review and knowledge graph-based framework that provides better recommendations by fully mining the fine-grained personalization features in user reviews. In contrast to existing correlation recommendation methods, we designed a new reviews sentiment perception feature and knowledge graph alignment module to characterize user preferences for specific features of items in the knowledge graph. To better represent the personalized feature distribution of users and items, we use the proposed RAKCR to aggregate sentiment relationship weight-aware neighborhood information in the knowledge graph to capture personalized feature representations of both users and items, and to better learn user and item embeddings for more accurate personalized recommendations. Experimental results demonstrate that the proposed RAKCR model outperforms the benchmark model significantly in click-through rate prediction for recommendation scenarios. Across the three datasets, Movielens-20 m, Amazon-book, and Yelp, the AUC values show an average improvement of 6.4%, 6.0%, and 3.4%, respectively. Additionally, the F1 values exhibit an average improvement of 7.2%, 6.2%, and 4.1%, respectively, when compared to existing state-of-the-art methods.","2024-08","2025-10-16 00:41:59","2025-10-16 00:41:59","2025-10-16 00:41:59","123403","","","248","","Expert Systems with Applications","RAKCR","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\GR95PJX5\Cui et al. - 2024 - RAKCR Reviews sentiment-aware based knowledge graph convolutional networks for Personalized Recomme.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WAN9ZCXL","journalArticle","2022","Zanon, André Levi; Souza, Luan; Pressato, Diany; Manzato, Marcelo Garcia","A user study with aspect‐based sentiment analysis for similarity of items in content‐based recommendations","Expert Systems","","0266-4720, 1468-0394","10.1111/exsy.12991","https://onlinelibrary.wiley.com/doi/10.1111/exsy.12991","Most studies on recommender systems focus on collaborative algorithm approaches over content-based recommendation due to their better accuracy results. However, the advantage of the latter is that it is more effective and more transparent with user applications. This article proposes WordRecommender, an explainable content-based algorithm that calculates similarity by semantic proximity. Its preprocessing step involves analyses of movie reviews to obtain aspects, defined as relevant words of high sentimental value. Recommendations are generated by a neighbourhood algorithm that calculates the similarity of films based on the semantic proximity of the aspects ordered by their emotional score. It can also consider a semantic comparison of metadata using the most related aspects from the recommended movie and one enjoyed by the user for the production of textual explanations. The accuracy of the algorithm was competitive with those of other baseline neighbourhood methods, and the semantic data of items can be the source of both representative information and reasoning in recommender systems.","2022-09","2025-10-16 00:42:04","2025-10-16 00:42:04","2025-10-16 00:42:04","e12991","","8","39","","Expert Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\RXKQKWG2\Zanon et al. - 2022 - A user study with aspect‐based sentiment analysis for similarity of items in content‐based recommend.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQXMHPBX","journalArticle","2024","Yang, Sigeon; Li, Qinglong; Lim, Haebin; Kim, Jaekyeong","An Attentive Aspect-Based Recommendation Model With Deep Neural Network","IEEE Access","","2169-3536","10.1109/ACCESS.2023.3349291","https://ieeexplore.ieee.org/document/10379624/","With the growth of the internet and e-commerce, online reviews have become a prevalent and rich source of information for personalized recommendations. Review text typically contains user preferences regarding various aspects of items or services. However, most previous recommendation models that used online reviews focused on general opinions, without considering the various aspects of the review text. Although previous approaches have effectively reflected the overall preferences embedded in reviews, capturing the preferences for various aspects is limited. This paper proposes an attentive aspect-based recommendation model with a deep neural network (AARN), which can capture user preferences regarding various aspects embedded in review text. The proposed model uses an advanced aspect-based sentiment analysis (ABSA) method. Unlike previous approaches that extract overall preferences, ABSA offers the advantage of extracting preferences for various aspects embedded in review texts. An attention mechanism is then applied to measure the unique attention weights for each aspect. Extensive experiments were conducted on real-world online review datasets, showing that the proposed model outperformed baseline models in effectively predicting user ratings for target items. Furthermore, this study demonstrated the influence of the ABSA method on personalized and explainable recommendations.","2024","2025-10-16 00:42:09","2025-10-16 00:42:09","2025-10-16 00:42:09","5781-5791","","","12","","IEEE Access","","","","","","","","en","https://creativecommons.org/licenses/by-nc-nd/4.0/","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\DVLYKPD2\Yang et al. - 2024 - An Attentive Aspect-Based Recommendation Model With Deep Neural Network.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZNQ42YN5","journalArticle","2025","Matia Kangoni, Samuel; Tshimanga Tshipata, Obed; Sedi Nzakuna, Pierre; Paciello, Vincenzo; Mbula Mboma, Jean-Gilbert; Makulo, Jean-Robert; Kyamakya, Kyandoghere","Enhancing Sentiment-Driven Recommender Systems With LLM-Based Feature Engineering: A Case Study in Drug Review Analysis","IEEE Access","","2169-3536","10.1109/ACCESS.2025.3590326","https://ieeexplore.ieee.org/document/11083619/","Sentiment analysis is vital for evaluating user feedback in drug reviews because understanding patient experiences leads to more personalized treatment recommendations by providing insights into the real-world effectiveness and tolerability of medications, which are often overlooked in clinical trials. This study evaluates the effectiveness of word-level and sentence-level embeddings for feature extraction in sentiment analysis. These embeddings are used in sequential models (Bi-LSTM, CNN) and non-sequential models (Random Forest, DNN, ExtraTreesClassifier). The Random Forest model with LLM2Vec achieves the best performance, with 0.93 accuracy, F1-scores of 0.95 (positive) and 0.88 (negative), and precision scores of 0.93 (positive) and 0.94 (negative). This approach detects subtle negative feedback often missed by standard models. To capture social consensus in patient feedback, we introduce Adaptive ConfidenceWeighted Scoring. This method leverages social validation as an implicit confidence signal, enabling sentiment scores to reflect both individual experiences and community agreement. It enhances trust and interpretability while standardizing sentiment polarity on a [−5, +5] scale. Clinically validated drug-related information, scraped from trusted sources, is encoded using the Llama-3.2-3B-Instruct model to extract context-aware representations. Features derived from this external medical knowledge improve semantic understanding, ensure grounding and safety, and enhance robustness even when reviews are sparse or noisy. The final vectors are employed within a cosine similarity framework to recommend relevant drugs, aligning recommendations with user satisfaction. This work demonstrates how LLM-based feature engineering can advance clinically valid, patient-aligned healthcare recommender systems informed by real-world feedback.","2025","2025-10-16 00:42:13","2025-10-16 00:42:13","2025-10-16 00:42:13","130304-130322","","","13","","IEEE Access","Enhancing Sentiment-Driven Recommender Systems With LLM-Based Feature Engineering","","","","","","","en","https://creativecommons.org/licenses/by/4.0/legalcode","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\RS9ZG6BC\Matia Kangoni et al. - 2025 - Enhancing Sentiment-Driven Recommender Systems With LLM-Based Feature Engineering A Case Study in D.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Y6U4VA8","journalArticle","2025","Azam, Awais; Sarfraz, Muhammad Shahzad; Zaman, Qamar Uz; Cheema, Adeel Ashraf; Ali, Aitizaz","UTAM: A Unified Thematic Mapping Approach for Cross-Domain Personalization and Cold Start Alleviation","IEEE Access","","2169-3536","10.1109/ACCESS.2025.3601992","https://ieeexplore.ieee.org/document/11134362/","Cross-domain recommendation systems are essential for delivering personalized experiences across diverse content areas. However, aligning user preferences across distinct domains, especially in cold-start scenarios where users have no interaction history in the target domain remains a significant challenge. To bridge this gap, we propose UTAM (Unified Thematic Alignment and Mapping), a novel framework that leverages thematic clustering of user preferences in a source domain to enable recommendations in a target domain. By capturing semantically aligned user-topic engagement patterns, UTAM effectively transfers user intent across domains. We evaluate UTAM on Amazon Movies and Books datasets using ten different experimental configurations that explore various dimensionality reductions, clustering thresholds, and engagement metrics. In cold-start scenarios, UTAM outperforms its singledomain variants. Specifically, UTAM achieves a precision of 0.770, recall of 0.854, and F1-score of 0.783. In comparison, the single-domain Movies model records precision 0.7005, recall 0.2506, F1-score 0.3174, while the single-domain Books model achieves precision 0.6309, recall 0.3142, F1-score 0.3649. These results highlight UTAM’s robustness and effectiveness in alleviating the cold-start problem while delivering accurate, scalable, and interpretable cross-domain recommendations.","2025","2025-10-16 00:42:18","2025-10-16 00:42:18","2025-10-16 00:42:18","148418-148435","","","13","","IEEE Access","UTAM","","","","","","","en","https://creativecommons.org/licenses/by/4.0/legalcode","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\BQNQ6SKQ\Azam et al. - 2025 - UTAM A Unified Thematic Mapping Approach for Cross-Domain Personalization and Cold Start Alleviatio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63YWNL59","journalArticle","2021","Yang, Chen; Chen, Xiaohong; Liu, Lei; Sweetser, Penny","Leveraging semantic features for recommendation: Sentence-level emotion analysis","Information Processing & Management","","03064573","10.1016/j.ipm.2021.102543","https://linkinghub.elsevier.com/retrieve/pii/S0306457321000509","Personalized recommendation systems can help users to filter redundant information from a large amount of data. Previous relevant researches focused on learning user preferences by analyzing texts from comment communities without exploring the detailed sentiment polarity, which encountered the cold-start problem. To address this research gap, we propose a hybrid personalized recommendation model that extracts user preferences by analyzing user review content in different sentiment polarity at the sentence level, based on jointly applying user-item score matrices and dimension reduction methods. A novel voting mechanism is also designed based on positive preferences from the neighbors of the target user to directly generate the recommendation results. The experimental results of testing the proposed model with a real-world data set show that our proposed model can achieve better recommendation effects than the representative recommendation algorithms. In addition, we demonstrated that fine-grained emotion recognition has good adaptability to a sparse rating matrix with a reasonable and good performance.","2021-05","2025-10-16 00:42:22","2025-10-16 00:42:22","2025-10-16 00:42:22","102543","","3","58","","Information Processing & Management","Leveraging semantic features for recommendation","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\23N7K5QN\Yang et al. - 2021 - Leveraging semantic features for recommendation Sentence-level emotion analysis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXGSGH5N","journalArticle","2021","Hong, Minsung; Jung, Jason J.","ClustPTF: Clustering-based parallel tensor factorization for the diverse multi-criteria recommendation","Electronic Commerce Research and Applications","","15674223","10.1016/j.elerap.2021.101041","https://linkinghub.elsevier.com/retrieve/pii/S1567422321000132","In the recommender system field, diversity as the measure of recommendation quality has gained much attention recently. However, many pieces of research have shown that it has a trade-off relation with predictive performance. To improve recommendation diversity and predictive performance in multi-criteria recommender systems, we propose a clustering-based parallel tensor factorization (ClustPTF). In the ClustPTF, sentiment analysis alleviates model sparsity, and the K-means clustering considering rating behaviors groups similar user preferences into sub-models and leads to improve recommendation diversity. The sub-models are then factorized in parallel to predict ratings in near real-time. With one dataset gathered from TripAdvisor, experiments showed that the ClustPTF considerably improve recommendation diversity (13.44x of a conventional tensor factorization (TF0)) and response time (23.13x of the TF0). Even its predictive performance is superior to the TF0 (41.06% improvement in MAE). Furthermore, the ClustPTF outperformed recent techniques in recommendation diversity and predictive performance (i.e., MAE and precision).","2021-05","2025-10-16 00:42:27","2025-10-16 00:42:27","2025-10-16 00:42:27","101041","","","47","","Electronic Commerce Research and Applications","ClustPTF","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\XR2A9368\Hong and Jung - 2021 - ClustPTF Clustering-based parallel tensor factorization for the diverse multi-criteria recommendati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQRT956C","journalArticle","2021","Lai, Chin-Hui; Hsu, Chia-Yu","Rating prediction based on combination of review mining and user preference analysis","Information Systems","","03064379","10.1016/j.is.2021.101742","https://linkinghub.elsevier.com/retrieve/pii/S0306437921000132","Review websites allow users to share their reviews of products or businesses, give ratings to products or businesses, and interact with other users. Due to the rapid growth of online review data, users face the problem of information overload. To resolve this problem, many researches have proposed various recommendation methods based on the analysis of users’ ratings. Besides user ratings, the review websites contain unstructured textual data and information of different aspects which has different impact and importance to both users and businesses. It may lead to inaccurate rating predictions, as it is difficult to know users’ preferring aspects and their corresponding importance by analyzing users’ rating data.","2021-07","2025-10-16 00:42:32","2025-10-16 00:42:32","2025-10-16 00:42:32","101742","","","99","","Information Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\AKGZNPSG\Lai and Hsu - 2021 - Rating prediction based on combination of review mining and user preference analysis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGDGYY2I","journalArticle","2021","Hong, Minsung","Decrease and conquer-based parallel tensor factorization for diversity and real-time of multi-criteria recommendation","Information Sciences","","00200255","10.1016/j.ins.2021.02.005","https://linkinghub.elsevier.com/retrieve/pii/S0020025521001390","In the ﬁeld of recommender systems, diversity as the measure of recommendation quality has gained much attention recently. Unfortunately, many researchers have shown that it has a trade-off relation with accuracy. Meanwhile, tensor factorization has been used as a useful technique that considers multi-correlations between user-item-other factors directly. However, it generally suffers from the model sparsity caused by high dimensionality and requirement of high computational costs. To improve diversity and response time while preserving accuracy in multi-criteria recommender systems (MCRS), we propose a decrease and conquer-based parallel tensor factorization (DnCPTF). In the DnCPTF, sentiment analysis alleviates the sparsity problem, and a two-phase clustering groups similar user reviews into sub-models. Furthermore, a controllable subdivision guarantees high diversity and short response time. The sub-models are then factorized in parallel to predict ratings, and top-N items are recommended via ratings consolidated from the sub-models. On a real-world dataset gathered from TripAdvisor, experimental results demonstrated that the DnCPTF signiﬁcantly improve recommendation diversity (55 of a conventional tensor factorization (CTF)) and response time (182 of the CTF) with preserving high precision and recall. Furthermore, it outperformed recent techniques in precision, diversity and required response time within 1 s on average.","2021-07","2025-10-16 00:42:37","2025-10-16 00:42:37","2025-10-16 00:42:37","259-278","","","562","","Information Sciences","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\GIK36T5S\Hong - 2021 - Decrease and conquer-based parallel tensor factorization for diversity and real-time of multi-criter.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U73LXKHA","journalArticle","2022","Duan, Rui; Jiang, Cuiqing; Jain, Hemant K.","Combining review-based collaborative filtering and matrix factorization: A solution to rating's sparsity problem","Decision Support Systems","","01679236","10.1016/j.dss.2022.113748","https://linkinghub.elsevier.com/retrieve/pii/S0167923622000197","An important factor affecting the performance of collaborative filtering for recommendation systems is the sparsity of the rating matrix caused by insufficient rating data. Improving the recommendation model and introducing side information are two main research approaches to address the problem. We combine these two approaches and propose the Review-Based Matrix Factorization method in this paper. The method consists of two phases. The first phase is review-based collaborative filtering, where an item-topic rating matrix is constructed by the feature-level opinion mining of online review text. This rating matrix is used to derive item similarities, which can be used to infer unknown users' ratings of the items. The second phase consists of rating imputation, where we first fill some of the empty elements of the user-item rating matrix, then conduct matrix factorization to learn the latent user and item factors to generate recommendations. Experiments on two actual datasets show that our method improves the accuracy of recommendation compared with similar algorithms.","2022-05","2025-10-16 00:42:43","2025-10-16 00:42:43","2025-10-16 00:42:43","113748","","","156","","Decision Support Systems","Combining review-based collaborative filtering and matrix factorization","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\UDGBUPVA\Duan et al. - 2022 - Combining review-based collaborative filtering and matrix factorization A solution to rating's spar.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"256ZR3MV","journalArticle","2022","Shrivastava, Rahul; Sisodia, Dilip Singh; Nagwani, Naresh Kumar; Bp, Upendra Roy","An optimized recommendation framework exploiting textual review based opinion mining for generating pleasantly surprising, novel yet relevant recommendations","Pattern Recognition Letters","","01678655","10.1016/j.patrec.2022.05.003","https://linkinghub.elsevier.com/retrieve/pii/S0167865522001568","Serendipity is a critical factor in the Recommender Systems (RS) in delivering pleasantly surprising, novel, yet contextually relevant recommendations. Most existing methods improve serendipity in RS by learning user preferences based on item popularity or similarity. However, the effectiveness of these methods in mitigating popularity bias and generating novel and unexpected item recommendations remains poorly understood. Recent studies suggest improvement in user preference by incorporating textual opinion provided by the user on an item. Additionally, the trade-off relationship between serendipity’s conﬂicting components, including relevance, novelty, and unexpectedness, warrants further investigation to improve the quality of top-n recommendations. Hence, this research proposes an opinion mining-based approach to learn the users’ personalized preferences from the textual reviews and incorporate both rating and reviews preferences to improve the quality of the recommendation list. Next, we design a new TwoFold Algorithmic (TFA) approach-based objective function for serendipity to mitigate the popularity bias by aggregating uncertainty based on item popularity and item similarity to user preferences. Lastly, a multi-objective evolutionary algorithm-based Serendipity Objective Optimization-based Recommendation Framework(SOORF) is designed to optimize the serendipity’s conﬂicting components. Extensive simulations are conducted over four benchmark datasets. The Mean Absolute Precision(MAP)@n and Serendipity@n based evaluation ﬁndings of SOORF and TFA demonstrate an improvement of at least 8.10% and 58.48%, respectively. The Precision@n and Recall@n based evaluations on different dataset sparsity conditions are observed with an improvement of at least 13.59% and 27.73% over baseline models. The Pareto front shows the models’ ability to generate surprising, novel, yet relevant recommendations.","2022-07","2025-10-16 00:42:50","2025-10-16 00:42:51","2025-10-16 00:42:50","91-99","","","159","","Pattern Recognition Letters","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\ZoteroData\storage\2R5JG2HM\Shrivastava et al. - 2022 - An optimized recommendation framework exploiting textual review based opinion mining for generating.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
